Age,Year,Population
52,1872,21306
53,1872,20133
54,1872,20401
55,1872,19266
56,1872,19831
57,1872,18986
58,1872,16549
59,1872,14241
60,1872,16056
61,1872,16247
62,1872,14558
63,1872,11357
64,1872,11482
65,1872,11896
66,1872,10967
67,1872,11025
68,1872,10644
69,1872,9858
70,1872,9728
71,1872,8072
72,1872,6925
73,1872,7400
74,1872,6914
75,1872,6298
76,1872,5959
77,1872,5045
78,1872,4582
79,1872,3994
80,1872,3623
81,1872,2800
82,1872,2274
83,1872,1757
84,1872,1573
85,1872,1021
86,1872,906
87,1872,654
88,1872,478
89,1872,279
90,1872,808
91,1872,338
92,1872,0
93,1872,0
94,1872,0
95,1872,0
96,1872,0
97,1872,0
98,1872,0
99,1872,0
100,1872,0
101,1872,0
102,1872,0
103,1872,0
104,1872,0
105,1872,0
106,1872,0
107,1872,0
108,1872,0
109,1872,0
0,1873,58422
1,1873,53053
2,1873,53058
3,1873,47612
4,1873,45836
5,1873,41285
6,1873,45723
7,1873,49596
8,1873,48774
9,1873,49019
10,1873,48030
11,1873,46431
12,1873,43894
13,1873,46402
14,1873,46038
15,1873,45185
16,1873,40971
17,1873,38906
18,1873,38219
19,1873,40204
20,1873,36103
21,1873,33381
22,1873,34541
23,1873,34375
24,1873,35054
25,1873,32225
26,1873,30038
27,1873,29213
28,1873,31049
29,1873,32048
30,1873,29928
31,1873,30863
32,1873,29034
33,1873,29848
34,1873,27552
35,1873,26428
36,1873,27095
37,1873,28179
38,1873,29041
39,1873,29222
40,1873,28714
41,1873,25675
42,1873,24154
43,1873,25690
44,1873,26586
45,1873,25297
46,1873,23210
47,1873,25911
48,1873,26578
49,1873,24744
50,1873,25618
51,1873,24550
52,1873,22895
53,1873,20996
54,1873,19810
55,1873,20074
56,1873,18930
57,1873,19475
58,1873,18634
59,1873,16206
60,1873,13890
61,1873,15684
62,1873,15850
63,1873,14167
64,1873,11012
65,1873,11125
66,1873,11469
67,1873,10529
68,1873,10583
69,1873,10180
70,1873,9383
71,1873,9240
72,1873,7603
73,1873,6453
74,1873,6897
75,1873,6379
76,1873,5761
77,1873,5436
78,1873,4536
79,1873,4089
80,1873,3505
81,1873,3176
82,1873,2416
83,1873,1939
84,1873,1474
85,1873,1331
86,1873,800
87,1873,718
88,1873,503
89,1873,361
90,1873,782
91,1873,338
92,1873,0
93,1873,0
94,1873,0
95,1873,0
96,1873,0
97,1873,0
98,1873,0
99,1873,0
100,1873,0
101,1873,0
102,1873,0
103,1873,0
104,1873,0
105,1873,0
106,1873,0
107,1873,0
108,1873,0
109,1873,0
0,1874,58266
1,1874,54866
2,1874,51413
3,1874,51852
4,1874,46715
5,1874,45211
6,1874,40810
7,1874,45285
8,1874,49184
9,1874,48412
10,1874,48715
11,1874,47758
12,1874,46191
13,1874,43667
14,1874,46163
15,1874,45778
16,1874,44887
17,1874,40657
18,1874,38565
19,1874,37842
20,1874,39793
21,1874,35698
22,1874,32968
23,1874,34099
24,1874,33965
25,1874,34645
26,1874,31808
27,1874,29655
28,1874,28865
29,1874,30695
30,1874,31672
31,1874,29582
32,1874,30532
33,1874,28708
34,1874,29522
35,1874,27236
36,1874,26136
37,1874,26785
38,1874,27835
39,1874,28690
40,1874,28877
41,1874,28381
42,1874,25358
43,1874,23860
44,1874,25398
45,1874,26290
46,1874,25023
47,1874,22943
48,1874,25623
49,1874,26254
50,1874,24412
51,1874,25271
52,1874,24185
53,1874,22542
54,1874,20660
55,1874,19469
56,1874,19726
57,1874,18586
58,1874,19110
59,1874,18242
60,1874,15829
61,1874,13508
62,1874,15254
63,1874,15393
64,1874,13721
65,1874,10605
66,1874,10699
67,1874,10988
68,1874,10015
69,1874,10058
70,1874,9629
71,1874,8807
72,1874,8665
73,1874,7023
74,1874,5901
75,1874,6341
76,1874,5819
77,1874,5192
78,1874,4856
79,1874,3989
80,1874,3574
81,1874,3041
82,1874,2747
83,1874,2028
84,1874,1609
85,1874,1164
86,1874,1069
87,1874,604
88,1874,557
89,1874,377
90,1874,778
91,1874,338
92,1874,0
93,1874,0
94,1874,0
95,1874,0
96,1874,0
97,1874,0
98,1874,0
99,1874,0
100,1874,0
101,1874,0
102,1874,0
103,1874,0
104,1874,0
105,1874,0
106,1874,0
107,1874,0
108,1874,0
109,1874,0
0,1875,59489
1,1875,54662
2,1875,53222
3,1875,50221
4,1875,50957
5,1875,46050
6,1875,44705
7,1875,40405
8,1875,44934
9,1875,48866
10,1875,48121
11,1875,48446
12,1875,47519
13,1875,45972
14,1875,43435
15,1875,45890
16,1875,45463
17,1875,44530
18,1875,40269
19,1875,38159
20,1875,37405
21,1875,39334
22,1875,35270
23,1875,32581
24,1875,33727
25,1875,33560
26,1875,34244
27,1875,31458
28,1875,29341
29,1875,28571
30,1875,30403
31,1875,31379
32,1875,29288
33,1875,30237
34,1875,28430
35,1875,29250
36,1875,26950
37,1875,25861
38,1875,26487
39,1875,27518
40,1875,28386
41,1875,28567
42,1875,28069
43,1875,25080
44,1875,23597
45,1875,25131
46,1875,26022
47,1875,24743
48,1875,22650
49,1875,25302
50,1875,25921
51,1875,24071
52,1875,24922
53,1875,23820
54,1875,22180
55,1875,20329
56,1875,19133
57,1875,19360
58,1875,18196
59,1875,18696
60,1875,17817
61,1875,15424
62,1875,13092
63,1875,14783
64,1875,14890
65,1875,13270
66,1875,10183
67,1875,10229
68,1875,10483
69,1875,9489
70,1875,9511
71,1875,9070
72,1875,8253
73,1875,8105
74,1875,6441
75,1875,5349
76,1875,5792
77,1875,5230
78,1875,4589
79,1875,4283
80,1875,3441
81,1875,3037
82,1875,2567
83,1875,2311
84,1875,1638
85,1875,1281
86,1875,877
87,1875,828
88,1875,415
89,1875,393
90,1875,771
91,1875,338
92,1875,0
93,1875,0
94,1875,0
95,1875,0
96,1875,0
97,1875,0
98,1875,0
99,1875,0
100,1875,0
101,1875,0
102,1875,0
103,1875,0
104,1875,0
105,1875,0
106,1875,0
107,1875,0
108,1875,0
109,1875,0
0,1876,59698
1,1876,56002
2,1876,52957
3,1876,51989
4,1876,49287
5,1876,50249
